File Extension,Ransomware,Present in other programs,Program type
o$l,Unidentified,N,
herbst,Jigsaw,N,
anonymous,Unidentified,N,
basilisque@protonmail_com,Unidentified,N,
MailRU,Unidentified,N,
coom,Unidentified,N,
epic,Unidentified,N,
lovewindows,Roga,N,
cezor,Unidentified,N,
die,Unidentified,N,
gui,Unidentified,N,
Snoopdoog,Unidentified,N,
hb15,Unidentified,N,
Nemucod,Unidentified,N,
loveyouisreal,Unidentified,N,
VinDizelPux,Unidentified,N,
team,Unidentified,N,
QH24,Unidentified,N,
NEMTY_*,Unidentified,N,
cosd,Unidentified,N,
abkir,Unidentified,N,
readme_txt,Unidentified,N,
hta,Unidentified,Y,Hypertextapplication
WALAN,Unidentified,N,
htm,Unidentified,Y,HyperTextMarkupLanguagedocument
RexCrypt,Unidentified,N,
kovasoh,Unidentified,N,
kodc,Unidentified,N,
invaded,Unidentified,N,
dyaaghemy,Unidentified,N,
RaRansomware,Unidentified,N,
PyL33T,Unidentified,N,
desucrpt,Unidentified,N,
DATAWAIT,Unidentified,N,
\u043a\u0438\u0431\u0435\u0440 \u0440\u0430\u0437\u0432\u0435\u0442\u0432\u0438\u0442\u0435\u043b\u044c,Unidentified,N,
Seon,Unidentified,N,
oled,Unidentified,N,
plauge17,Unidentified,N,
AES128,Unidentified,N,
BandarChor,Unidentified,N,
hrosas,Unidentified,N,
TELEGRAM,Unidentified,N,
boost,Unidentified,N,
CryFile,Unidentified,N,
TEREN,Unidentified,N,
u'_ryp,Unidentified,N,
2spyware,Unidentified,N,
8be1,Unidentified,N,
Hades666!,Unidentified,N,
agho,Unidentified,N,
DeathHiddenTear,Unidentified,N,
robinhood,Unidentified,N,
garrantydecrypt,Unidentified,N,
MEFILIN,Unidentified,N,
deria,Unidentified,N,
61yhi,Unidentified,N,
\u5e72\u7269\u59b9\uff01,Unidentified,N,
ObcKIn,Unidentified,N,
dewar,Unidentified,N,
dtbc,Unidentified,N,
ME,Unidentified,N,
DESYNC,Unidentified,N,
Zwbowhtlni,Unidentified,N,
triple_m,Unidentified,N,
netn6,Unidentified,N,
lokas,Unidentified,N,
bot,Unidentified,Y,Linkbotfile
1btc,Unidentified,N,
Project57,Unidentified,N,
shifr,Unidentified,N,
NCrypt,Unidentified,N,
aZaZeL,Unidentified,N,
u'zzzzzzzzzzzzzzzzzyyy,Unidentified,N,
eky,Unidentified,N,
DeroHE,Unidentified,N,
PewCrypt,Unidentified,N,
dalle,Unidentified,N,
satan,Unidentified,N,
deadfiles,Unidentified,N,
DilmaLocker,Unidentified,N,
ransomwared,Unidentified,N,
BitPyLock,Unidentified,N,
GLB,Unidentified,N,
ERROR,Unidentified,N,
README,Unidentified,N,
Alma Locker,Unidentified,N,
foqe,Unidentified,N,
fake,Unidentified,N,
djang0unchain3d,Unidentified,N,
mamasitaq,Unidentified,N,
LanRan*,Unidentified,N,
xati,Unidentified,N,
Anatova,Unidentified,N,
serpom,Unidentified,N,
RetMyData,Unidentified,N,
perl,Globe,N,
teslarvng,Unidentified,N,
live,Unidentified,N,
WhiteRose,Unidentified,N,
pleaseCallQQ,Unidentified,N,
todar,Unidentified,N,
ShivaGood,Unidentified,N,
MorrisBatchCrypt,Unidentified,N,
TheDMR,Unidentified,N,
braincrypt,PadCrypt,N,
efji,Unidentified,N,
gropas,Unidentified,N,
XTP,Unidentified,N,
nosafe,Unidentified,N,
Annabelle2,Unidentified,N,
spa\xdf,Unidentified,N,
sthd2,Unidentified,N,
*locker*,Unidentified,N,
DavesSmith,Unidentified,N,
Facebook,Unidentified,N,
WannaSmile,Unidentified,N,
oor,Unidentified,N,
vcrypt,Unidentified,N,
Apocalypse,Unidentified,N,
0D34E0,Unidentified,N,
pornoransom,Unidentified,N,
Reyptson,Unidentified,N,
aes_ni,Unidentified,N,
bumcoder,Unidentified,N,
MZ173801,Unidentified,N,
kraussmfz,Unidentified,N,
jojocrypt,Unidentified,N,
cap,Unidentified,Y,Caption(VenturaPublisher)
CTBL2,Unidentified,N,
purge,Zorro,N,
wallet,Alpha,N,
vally,Unidentified,N,
MindSystem,Unidentified,N,
{XXXXX-EFEE-6C04-D2DC-A9EFA812DD11}!,Unidentified,N,
shino,Unidentified,N,
Spade,Unidentified,N,
wuciwug,Unidentified,N,
crazy,Unidentified,N,
ABAT,Unidentified,N,
lockd,Unidentified,N,
Bucbi,Unidentified,N,
berost,Unidentified,N,
Plague17,Unidentified,N,
vpgvlkb,Unidentified,N,
fuck,Unidentified,N,
14x,Unidentified,N,
Shigo,Unidentified,N,
CryptoFinancial,Unidentified,N,
FindZip,Unidentified,N,
gehenna,Unidentified,N,
REBUS,Unidentified,N,
locky,Locky,N,
vxlock,KimcilWare,N,
adobee,Unidentified,N,
mpaj,Unidentified,N,
mpal,Unidentified,N,
litra,Unidentified,N,
bmn63,Unidentified,N,
SOLO,Unidentified,N,
get,Unidentified,N,
Marozka,Unidentified,N,
1,Unidentified,Y,InnoSetupBinaryfile
odveta,Unidentified,N,
Barak,Unidentified,N,
ZaCaPa,Unidentified,N,
jes,Unidentified,N,
GMPF,Unidentified,N,
DEXTER,Unidentified,N,
nemty,Unidentified,N,
promorad2,Unidentified,N,
010001,Unidentified,N,
hog,Unidentified,N,
YouAreFucked,Unidentified,N,
grod,Unidentified,N,
bondy,Unidentified,N,
YAYA,Unidentified,N,
crashed,Unidentified,N,
wndie,Unidentified,N,
ENCRYPTED_RSA,Unidentified,N,
Netix,Unidentified,N,
data,Unidentified,Y,SidTuneaudiofile
CryptoDarkRubix,Unidentified,N,
BB4-230-*,Unidentified,N,
jungle@anonymousspechcom,Unidentified,N,
CryptConsole,Unidentified,N,
iRansom,Unidentified,N,
stroman,Unidentified,N,
corona,Unidentified,N,
BDKR,Unidentified,N,
switch,Unidentified,N,
viki,Unidentified,N,
block,Unidentified,N,
CreamPie,Unidentified,N,
rnsmwr,Troldesh,N,
DMR64,Unidentified,N,
BG85,Unidentified,N,
ihsdj,Unidentified,N,
tools_ensikology,Unidentified,N,
Recovery,Unidentified,N,
InducVirus,Unidentified,N,
LIN,Unidentified,N,
Bitpaymer,Unidentified,N,
tabufa,Unidentified,N,
Torchwood,Unidentified,N,
mechu4Po,Unidentified,N,
Node0,Unidentified,N,
killedXXX,Unidentified,N,
ZqVIkE,Unidentified,N,
payforunlock,Unidentified,N,
SDEN,Unidentified,N,
blocked,Unidentified,N,
RU,Unidentified,N,
payfordecrypt,Unidentified,N,
group,Unidentified,N,
ranrans,Unidentified,N,
Netwalker,Unidentified,N,
idgm,Unidentified,N,
KEYH0LES,Unidentified,N,
crypt1,Unidentified,N,
vendetta2,Unidentified,N,
JAMES,Unidentified,N,
abstergo,Unidentified,N,
xyz,Merry,Y,ASCIIRPGMakerGraphicFormat
limbo,Unidentified,N,
cryptgh0st,Unidentified,N,
u'*msptermthemes*,Unidentified,N,
Sister,Unidentified,N,
ZeroFucks,Unidentified,N,
ryx,Unidentified,N,
J91D,Unidentified,N,
Atom,Unidentified,N,
lalo,Unidentified,N,
WECANHELP,Unidentified,N,
HRM,Unidentified,N,
a990,Unidentified,N,
Protected,Unidentified,N,
TeslaCrypt,Unidentified,N,
kkk,Herbst,N,
cheetah,Unidentified,N,
Kerkoporta,Unidentified,N,
sysdown,Unidentified,N,
TurkStatik,Unidentified,N,
CryLocker,Unidentified,N,
crypte,Jigsaw,N,
spybuster,Unidentified,N,
Badboy,Unidentified,N,
crypto,Unidentified,N,
KAxoAgY,Unidentified,N,
checkdiskenced,Unidentified,N,
PoAr2w,Jigsaw,N,
SATANA,Unidentified,N,
cryptz,Unidentified,N,
prosperous666,Unidentified,N,
KICK,Unidentified,N,
ExecutionerPlus,Unidentified,N,
fat32,Unidentified,N,
paym,Al-Namrood,N,
krab,GandCrab,N,
info@mymail9[dot]com,Unidentified,N,
BtCry_zip,Unidentified,N,
u'_HELP_HELP_HELP_*,Unidentified,N,
wcry,El-Polocker,N,
qewe,Unidentified,N,
DeathRansom,Unidentified,N,
proden,Unidentified,N,
Arsium,Unidentified,N,
ZIEBF_4561drgf,Unidentified,N,
NEMTY_AJORCUS,Unidentified,N,
ferosas,Unidentified,N,
space,Unidentified,N,
KokoKrypt,Unidentified,N,
crypted034,Unidentified,N,
bkc,Unidentified,N,
blm,Unidentified,N,
iudgkwv,Unidentified,N,
ShkolotaCrypt,Unidentified,N,
Jager,Unidentified,N,
L0CKED,Unidentified,N,
Yakes,Unidentified,N,
hck,Unidentified,N,
CryptoGod,Unidentified,N,
evillock,Gremit,N,
W0YR8,Unidentified,N,
loptr,Unidentified,N,
Zimbra,Unidentified,N,
browec,Unidentified,N,
CryptInfinite,Unidentified,N,
Vurten,Unidentified,N,
Lockify,Unidentified,N,
OXR,Unidentified,N,
eddldzor,Unidentified,N,
plomb,Unidentified,N,
RENSENWARE,Unidentified,N,
conficker,Phishing,N,
eject,Unidentified,N,
Sigma,Unidentified,N,
JezRoz,Unidentified,N,
blind2,Unidentified,N,
hc6,Unidentified,N,
hc7,Unidentified,N,
OpJerusalem,Unidentified,N,
Shujin,Unidentified,N,
n3xtpharma,Unidentified,N,
pandemic,Unidentified,N,
israbye,Unidentified,N,
Elder,Unidentified,N,
crypted_bizarrio@pay4me_in,Unidentified,N,
yum,Unidentified,N,
besub,Unidentified,N,
gtsc,Unidentified,N,
Elbie,Unidentified,N,
Prom[*],Unidentified,N,
dotmap,Unidentified,N,
u'*FDFK*INFO*,Unidentified,N,
Elvis,Unidentified,N,
exotic,Jigsaw,N,
wiki,Unidentified,N,
oni,Unidentified,N,
CryptoLocker3,Unidentified,N,
leenapidx,Unidentified,N,
MERS,Unidentified,N,
encryptedAES,Unidentified,N,
xz,Unidentified,Y,XZCompressedArchivefile
onx,Unidentified,N,
arazite,Unidentified,N,
KEYHOLES,Unidentified,N,
TABGH,Unidentified,N,
org*,Unidentified,N,
Comrade Circle,Unidentified,N,
district,Unidentified,N,
gif,Unidentified,Y,GraphicsInterchangeFormatbitmapgraphics(CompuShow)
arch,Unidentified,N,
NHLP,Unidentified,N,
c0hen,Unidentified,N,
poyvonm,Unidentified,N,
plastic,Unidentified,N,
aulmhwpbpz,Unidentified,N,
iwanttits,Unidentified,N,
htrs,Unidentified,N,
SintaLocker,Unidentified,N,
tfude,Unidentified,N,
gefest,Unidentified,N,
copa,Unidentified,N,
diller13,Unidentified,N,
pnr,Unidentified,N,
KeyBTC,Unidentified,N,
snatch,Unidentified,N,
FRS,Unidentified,N,
robbinhood,Unidentified,N,
SIGARETA,Unidentified,N,
Ox4444,Unidentified,N,
ZoToN,Unidentified,N,
YOUR_LAST_CHANCE,Unidentified,N,
yyto,Unidentified,N,
png,Unidentified,Y,Bitmapgraphics(PortableNetworkGraphics)
4x82N,Unidentified,N,
PPDDDP,Unidentified,N,
serp,Serpent,N,
SecureCrypte,Unidentified,N,
smpl,Unidentified,N,
MireWare,Unidentified,N,
everbe,Unidentified,N,
crypted_marztoneb@tutanota_de,Unidentified,N,
werd,Unidentified,N,
jupstb,Unidentified,N,
lmas,Unidentified,N,
nypd,Unidentified,N,
Pig4444,Unidentified,N,
Bitshifter,Unidentified,N,
Harzhuangzi,Unidentified,N,
PANDA,Unidentified,N,
justbtcwillhelpyou,Unidentified,N,
gerosan,Unidentified,N,
obagarmrk,Unidentified,N,
btc,Samsam,N,
mo7n,Unidentified,N,
DG,Unidentified,N,
H@RM@,Unidentified,N,
Philadelphia,Unidentified,N,
vesrato,Unidentified,N,
p3rt4m1n4777,Unidentified,N,
loki,Unidentified,N,
crypt888,Unidentified,N,
rent,Unidentified,N,
pysa,Unidentified,N,
rgnk,Unidentified,N,
ADR,Unidentified,N,
Valley,Unidentified,N,
lokf,Unidentified,N,
grupothermot3k,Unidentified,N,
lokd,Unidentified,N,
geminis3,Unidentified,N,
Alienlock,Unidentified,N,
0402,Unidentified,N,
yoAD,Unidentified,N,
zoh,Unidentified,N,
Useless,Unidentified,N,
jodis,Unidentified,N,
ZINO,Unidentified,N,
u'*snowpicnic*,Unidentified,N,
_enc,Unidentified,N,
wcg,Unidentified,N,
rogue,Unidentified,N,
HadesLocker,Unidentified,N,
wch,Unidentified,N,
omfl,Unidentified,N,
bk666,Unidentified,N,
happythreechoose,Unidentified,N,
bagli,Unidentified,N,
r3store,Unidentified,N,
pain,Unidentified,N,
cockista,Unidentified,N,
cryp,Unidentified,N,
Montserrat,Unidentified,N,
MH24,Unidentified,N,
SaveTheQueen,Unidentified,N,
bitkangoroo,Unidentified,N,
DERZKO,Unidentified,N,
ChineseRarypt,Unidentified,N,
net,Unidentified,Y,Networkconfiguration/infofile
SYMMYWARE,Unidentified,N,
u'Your files encrypted by our friends !!! txt,Unidentified,N,
fantom,Legion,N,
cetori,Unidentified,N,
PC-FunHACKED*,Unidentified,N,
mogera,Unidentified,N,
ExpBoot!,Unidentified,N,
PLIN,Unidentified,N,
GoRansom,Unidentified,N,
rezuc,Unidentified,N,
PNG,Unidentified,N,
bado,Unidentified,N,
Black Shades,Unidentified,N,
jamper,Unidentified,N,
3301,Unidentified,N,
mbed,Unidentified,N,
si\u2026,Unidentified,N,
networkmaze,Unidentified,N,
lockbit,Unidentified,N,
SKYSTARS,Unidentified,N,
tron,Unidentified,N,
wooly,Unidentified,N,
u'*_luck,Unidentified,N,
GRHAN,Unidentified,N,
doubleoffset,Unidentified,N,
XiaoBa,Unidentified,N,
Dusk!,Unidentified,N,
lolkek,Unidentified,N,
SARS-CoV-2,Unidentified,N,
QuakeWay,Unidentified,N,
Gate,Unidentified,N,
mmnn,Unidentified,N,
kir,Unidentified,N,
xcrypt,Unidentified,N,
nemesis,Unidentified,N,
Nano,Unidentified,N,
fordan,Unidentified,N,
$anta,Unidentified,N,
clown+,Unidentified,N,
HELLO,Unidentified,N,
Exocrypt XTC,Unidentified,N,
BUSH,Unidentified,N,
actin,Unidentified,N,
disposed2017,Unidentified,N,
craftul,Unidentified,N,
Hakbit,Unidentified,N,
Datalock,Unidentified,N,
guarded,Unidentified,N,
HAM,Unidentified,N,
ZimbraCryptor,Unidentified,N,
antihacker2017,Ruby,N,
cRh8,Unidentified,N,
repp,Unidentified,N,
pizda@qq_com,Unidentified,N,
repl,Unidentified,N,
Cruel,Unidentified,N,
I'WANT MONEY,Unidentified,N,
nobu,Unidentified,N,
SEVENDAYS,Unidentified,N,
CGAIE,Unidentified,N,
xwz,Unidentified,N,
Apocalypse (New Variant),Unidentified,N,
vvoa,Unidentified,N,
FunFact,Unidentified,N,
cspider,Unidentified,N,
poolezoor,Unidentified,N,
ybtn,Unidentified,N,
ispfv,Unidentified,N,
bclaw,Unidentified,N,
Horsuke,Unidentified,N,
hjgdl,Unidentified,N,
seccrypt,Unidentified,N,
Winnix,Unidentified,N,
shinigami,Unidentified,N,
QwertyCrypt,Unidentified,N,
kes$,Unidentified,N,
TrumpLocker,Unidentified,N,
obfuscated,Unidentified,N,
sr0yz,Unidentified,N,
zuadr,Unidentified,N,
MongoLock,Unidentified,N,
cizer,Unidentified,N,
firecrypt,Unidentified,N,
WHY\u2026,Unidentified,N,
 tcwwasted,Unidentified,N,
com2,Unidentified,N,
CryptoTorLocker2015!,Unidentified,N,
UserFilesLocker,Unidentified,N,
spora,Cryptorium,N,
3RNu,Unidentified,N,
xienvkdoc,Unidentified,N,
com*,Unidentified,N,
magic_software_syndicate,Unidentified,N,
criptokod,Unidentified,N,
encr,STOP,N,
Novosof,Unidentified,N,
yoewy,Unidentified,N,
euclid,Unidentified,N,
sport,Unidentified,N,
ABCLocker,Unidentified,N,
VoidCrypt,Unidentified,N,
ddsg,Unidentified,N,
asdasdasd,Unidentified,N,
cymcrypt,Unidentified,N,
BAWSUOOXE,Unidentified,N,
HDDCryptor,Unidentified,N,
JobCrypter,Unidentified,N,
3P7m,Unidentified,N,
ArmaLocky,Unidentified,N,
breakingbad,Unidentified,N,
492,Unidentified,N,
dohfzdod,Unidentified,N,
encS,Unidentified,N,
DARKCRY,Unidentified,N,
ONIX,Unidentified,N,
amba,Unidentified,N,
better_call_saul,Unidentified,N,
andymarvin,Unidentified,N,
kook,Unidentified,N,
SplinterJoke,Unidentified,N,
CryptoFortress,Unidentified,N,
com},Unidentified,N,
domn,Unidentified,N,
gankLocked,Unidentified,N,
HildaCrypt,Unidentified,N,
jp,Unidentified,N,
Srpx,Unidentified,N,
GandCrab,Unidentified,N,
heronpiston,Unidentified,N,
lilocked,Unidentified,N,
spare,Unidentified,N,
animus,Unidentified,N,
5ss5c,Unidentified,N,
jewsomware,Unidentified,N,
oplata@qq_com,Unidentified,N,
js,Unidentified,Y,"MicrosoftScriptingLanguage""JScript""fileextension"
cripto,Unidentified,N,
jc,Unidentified,N,
coverton,WildFire,N,
todarius,Unidentified,N,
WWW,Unidentified,N,
stun,Unidentified,N,
com],Unidentified,N,
rsa,Unidentified,N,
kjh,Unidentified,N,
nile,Unidentified,N,
wtdi,Unidentified,N,
daris,Unidentified,N,
ddpcbi,Unidentified,N,
LOCKOUT,Unidentified,N,
clf,Unidentified,N,
FenixLocker,Unidentified,N,
Ransom,Unidentified,N,
sett4545,Unidentified,N,
Hades666,Unidentified,N,
kvag,Unidentified,N,
CHIP,Unidentified,N,
ekvf,Unidentified,N,
prus,Unidentified,N,
jest,Unidentified,N,
exploit,Unidentified,N,
KARLOS,Unidentified,N,
20dfs,Unidentified,N,
LGAWPULM,Unidentified,N,
COM,Unidentified,N,
1cbu1,TeslaCrypt,N,
promock,Unidentified,N,
upd9ykc65v,Unidentified,N,
aajf,Unidentified,N,
CASH,Unidentified,N,
randomname-*,Unidentified,N,
recry1,Unidentified,N,
CSP Ransomware,Unidentified,N,
firmabilgileri,Unidentified,N,
PLUT,Unidentified,N,
mars,Unidentified,N,
__NIST_K571__,Unidentified,N,
505,Unidentified,N,
FrozrLock,Unidentified,N,
godra,Unidentified,N,
SAVEfiles,Unidentified,N,
nusm,Unidentified,N,
COM],Unidentified,N,
InsaneCrypt,Unidentified,N,
cobain,Unidentified,N,
moresa,Unidentified,N,
Kiratos,Unidentified,N,
zobm,Unidentified,N,
Wulfric,Unidentified,N,
qbtex,Unidentified,N,
gr3g,Unidentified,N,
bmp,Unidentified,Y,Bitmapgraphics(PCPaintbrush-many)
hv88g2,Unidentified,N,
Team XRat,Unidentified,N,
newlock,Unidentified,N,
mmpa,Unidentified,N,
ruby,Donald,N,
Fappy,Unidentified,N,
AnteFrigus,Unidentified,N,
ogdo,Unidentified,N,
6be31,Unidentified,N,
com_,Unidentified,N,
Tesla,Unidentified,N,
midwestsurinc,Unidentified,N,
qwerty,Unidentified,N,
boroff,Unidentified,N,
Wx7A6,Unidentified,N,
id-3044989498_x3m,Unidentified,N,
kobos,Unidentified,N,
Crypt0L0cker,Unidentified,N,
medsv162,Unidentified,N,
pwned,Unidentified,N,
RandomLocker,Unidentified,N,
GNS,Unidentified,N,
mariacbc,Unidentified,N,
locked_by_mR_Anonymous(TZ_HACKERS),Unidentified,N,
bvjznsjlo,Unidentified,N,
bufas,Unidentified,N,
AIR,Unidentified,N,
b78vi7v6ri66b,Unidentified,N,
corona-lock,Unidentified,N,
embrace,Unidentified,N,
omerta,Unidentified,N,
cmsnwned,Unidentified,N,
SoFucked,Unidentified,N,
Hidden,Unidentified,N,
EZDZ,Unidentified,N,
OGONIA,Unidentified,N,
neras,Unidentified,N,
PAYLOADBIN,Unidentified,N,
okokokokok,Unidentified,N,
bript,help_dcfile,N,
Void,Unidentified,N,
pepe,Unidentified,N,
Ranion,Unidentified,N,
same,Unidentified,N,
URL,Unidentified,N,
Nyton,Unidentified,N,
pigzqbqnvbu,Unidentified,N,
chech,Unidentified,N,
rontok,Unidentified,N,
bagi,Unidentified,N,
week,Unidentified,N,
luboversova148,Unidentified,N,
paymrss,Jigsaw,N,
safe,Unidentified,N,
R4bb0l0ck,Unidentified,N,
gws,Unidentified,N,
io,Unidentified,Y,CompressedfilearchivecreatedbyCPIO
BlackHat,Unidentified,N,
toxcrypt,Unidentified,N,
edgel,Jigsaw,N,
{25BF1879-A2DC-B66A-3CCC-XXXXXXXXXXXX},Unidentified,N,
emsisosisoft,Unidentified,N,
bananaCrypt,Unidentified,N,
vault,Unidentified,N,
LockCrypt,Unidentified,N,
Banks,Unidentified,N,
Technomous*,Unidentified,N,
eth,Unidentified,Y,Document(Ethnograph3)
nesa,Unidentified,N,
C1H,Unidentified,N,
ap19,Unidentified,N,
UIK1J,Unidentified,N,
PEDANT,Unidentified,N,
Brazilian Ransomware,Unidentified,N,
GSupport3,Unidentified,N,
DiskDoctor,Unidentified,N,
htm*,Unidentified,N,
crypt,Locky,N,
ccd,Unidentified,Y,CloneCDRelatedfile
Deniz_kizi,Unidentified,N,
TraNs,Unidentified,N,
maktub,Unidentified,N,
MZ434376,Unidentified,N,
A604AF9070,Unidentified,N,
DecYourData,Unidentified,N,
Puma,Unidentified,N,
dedo,Unidentified,N,
xorist,Unidentified,N,
ohwqg,Unidentified,N,
PrincessLocker,Unidentified,N,
gdb,Unidentified,Y,InterbaseDatabase
bguu,Unidentified,N,
kill,Unidentified,N,
YTBL,Unidentified,N,
Spyro,Unidentified,N,
crybrazil,Unidentified,N,
gehad,Unidentified,N,
megacortex,Unidentified,N,
solaso,Unidentified,N,
lambda_l0cked,Unidentified,N,
vrmrkz,Unidentified,N,
CRYPTOBYTE,Unidentified,N,
excuses,Unidentified,N,
foop,Unidentified,N,
mike!Ransom,Unidentified,N,
sambo,Unidentified,N,
leto,Unidentified,N,
#__EnCrYpTED_BY_dzikusssT3AM_ransomware!__#,Unidentified,N,
ded,Unidentified,N,
RHMLM,Unidentified,N,
bloc,Unidentified,N,
brickr,Unidentified,N,
hilegofprencrp,Unidentified,N,
Czlock,Unidentified,N,
Tiger4444,Unidentified,N,
Gomasom,Unidentified,N,
somik1,Unidentified,N,
BetaSup,Unidentified,N,
SONIC,Unidentified,N,
Adair,Unidentified,N,
BB Ransomware,Unidentified,N,
wowwhereismyfiles,Unidentified,N,
Blue Blackmail,Unidentified,N,
dark,Unidentified,N,
leen,Unidentified,N,
criptiko,Unidentified,N,
kuntzware,Unidentified,N,
weapologize,Unidentified,N,
justice,Unidentified,N,
YIAQDG,Unidentified,N,
BRAINCRYPT,Unidentified,N,
dodoc,Unidentified,N,
acute,Unidentified,N,
nosu,Unidentified,N,
##___POLICJA!!!___TEN_PLIK_ZOSTA,Unidentified,N,
Kasiski,Unidentified,N,
Halloware,Unidentified,N,
black007,Unidentified,N,
xiaoba3,Unidentified,N,
Medusa,Unidentified,N,
btos,Unidentified,N,
GOTYA,Unidentified,N,
Io],Unidentified,N,
WonderCrypter,Unidentified,N,
ADHUBLLKA,Unidentified,N,
ezz,7ev3n,Y,eZBackupbackupfile
LSOBKMHG,Unidentified,N,
Amnesia2,Unidentified,N,
pstKll,Unidentified,N,
RSplited,Unidentified,N,
Blind 2,Unidentified,N,
nlah,Unidentified,N,
ID83994902,Unidentified,N,
divine,Unidentified,N,
impect,Unidentified,N,
wncryt,Unidentified,N,
dragnea,Unidentified,N,
ZW,Unidentified,N,
u'*@gmail_com_*,Unidentified,N,
Dcrtr,Unidentified,N,
mool,Unidentified,N,
SADStory,Unidentified,N,
u'*_nullbyte*,Unidentified,N,
666,Unidentified,N,
noos,Unidentified,N,
911,Unidentified,N,
x3m,Unidentified,N,
drume,Unidentified,N,
SilentDeath,Unidentified,N,
Mobef,Unidentified,N,
Nhtnwcuf,Unidentified,N,
ever101,Unidentified,N,
a19,Unidentified,N,
ctbl,Unidentified,N,
MDEN,Unidentified,N,
Zyr,Unidentified,N,
nmc,Unidentified,N,
yyy0,Unidentified,N,
Malki,Unidentified,N,
acc,Unidentified,Y,Program(DR-DOS-ViewMax)(GEM/resident)
stone,Unidentified,N,
Flux,Unidentified,N,
ScareCrow,Unidentified,N,
HTM,Unidentified,N,
luceq,Unidentified,N,
B10CKED,Unidentified,N,
razarac,Unidentified,N,
cring,Unidentified,N,
crinf,TorrentLocker,N,
KCW,Unidentified,N,
akaibvn,Unidentified,N,
see_read_me,Unidentified,N,
Flatcher3,Unidentified,N,
raldug,Unidentified,N,
##ENCRYPTED_BY_pablukl0cker##,Unidentified,N,
refols,Unidentified,N,
backup,Unidentified,Y,Ad-AwareReferencefile
amber,Unidentified,N,
[ID]*[ID],Unidentified,N,
realfs0ciety@sigaint.org.fs0ciety,Derp,N,
UNIT09,Unidentified,N,
lcphr,Unidentified,N,
xfile,Unidentified,N,
CorruptCrypt,Unidentified,N,
gomer,Unidentified,N,
guvara,Unidentified,N,
CerberTear,Unidentified,N,
adobe,Unidentified,N,
u'*qq_com*,Unidentified,N,
banks*,Unidentified,N,
CryptedOpps,Unidentified,N,
ZoLiSoNaL,Unidentified,N,
Clouded,Unidentified,N,
stare,Unidentified,N,
Meteoritan,Unidentified,N,
RRK,Unidentified,N,
NegozI,Unidentified,N,
shelbyboom,Unidentified,N,
wintenzz,Unidentified,N,
pulsar1,Unidentified,N,
lol,Unidentified,N,
ONION,Unidentified,N,
Yqbdpevbz,Unidentified,N,
sVn,Unidentified,N,
u'*qibfmkeM5*,Unidentified,N,
CryptoTorLocker,Unidentified,N,
truke,Unidentified,N,
crypted_pony_test_build_xxx_xxx_xxx_xxx_xxx,Unidentified,N,
cr020801,Unidentified,N,
anami,Unidentified,N,
encryptedbyBB,Unidentified,N,
DeathNote,Unidentified,N,
gore,Unidentified,N,
REVENGE ,Unidentified,N,
a800,Unidentified,N,
fezmm,Unidentified,N,
a6f2t,Unidentified,N,
MTC,Unidentified,N,
DoubleLocker,Unidentified,N,
kgpvwnr,Unidentified,N,
zypto*,Unidentified,N,
oslawcmme,Unidentified,N,
recme,Unidentified,N,
areyoulovemyrans,Unidentified,N,
bhacks,Unidentified,N,
doc,Unidentified,Y,Documenttextfile
scrcrw,Unidentified,N,
promorad,Unidentified,N,
e4m,Unidentified,N,
tedcrypt,Unidentified,N,
ogre,Unidentified,N,
kroput1,Unidentified,N,
cbf,Unidentified,Y,CalendarBuilderfile
ad,Unidentified,Y,Screensaverdata(AfterDark)
USA,Unidentified,N,
Black Feather,Unidentified,N,
felix,Unidentified,N,
SBLOCK,Unidentified,N,
deep,Unidentified,N,
CryptoDefense,Unidentified,N,
MILIHPENN,Unidentified,N,
BadEncript,Unidentified,N,
JapanLocker,Unidentified,N,
GrAnoSinSa,Unidentified,N,
covid21,Unidentified,N,
CRYZP,Unidentified,N,
popotic,Unidentified,N,
bmd,Unidentified,N,
dbger,Unidentified,N,
Cl0p,Unidentified,N,
WORMCRYPT0R,Unidentified,N,
COM}CMG,Unidentified,N,
Termite,Unidentified,N,
skvtb,Unidentified,N,
Apollon865,Unidentified,N,
bloccato,Unidentified,N,
5,Unidentified,N,
madebyadam,Phishing,N,
Tfudeq,Unidentified,N,
notfoundrans,Unidentified,N,
da_vinci_code,Unidentified,N,
poop,Unidentified,N,
TotalWipeOut,Unidentified,N,
lokitus,Unidentified,N,
unwa,Unidentified,N,
Lazarus+!,Unidentified,N,
slank,Unidentified,N,
poof,Unidentified,N,
mammon,Unidentified,N,
HKCrypt,Unidentified,N,
LMAOxUS,Unidentified,N,
TxT,Unidentified,N,
yq75w627,Unidentified,N,
javalocker,Unidentified,N,
raid10,Princess,N,
CEBER3,Unidentified,N,
xiaoba29,Unidentified,N,
ryk,Unidentified,N,
sophos,Unidentified,N,
UselessFiles,Unidentified,N,
ndpyhss,Unidentified,N,
DynA-Crypt,Unidentified,N,
DeLpHiMoRiX*,Unidentified,N,
osnoed,Unidentified,N,
TROLL,Unidentified,N,
Txt,Unidentified,N,
oral,Unidentified,N,
RotorCrypt,Unidentified,N,
ndarod,Unidentified,N,
scl,Unidentified,N,
pola,Unidentified,N,
AMJIXIUS,Unidentified,N,
skeleton,Unidentified,N,
