!bt	BitTorrentIncompleteDownloadfile
!qb	qBittorrentPartialDownloadfile
!ut	uTorrentIncompleteDownloadfile
#24	Printerdatafilefor24pinmatrixprinter(LocoScript)
#ib	Printerdatafile(LocoScript)
#sc	Printerdatafile(LocoScript)
#st	Standardmodeprinterdefinitions(LocoScript)
$#!	Cryptext
dis	DATAIRdataimportspecificationfile
divx	DivXEncodedMoviefile
diz	Descriptionfile(DescriptionInZip)
dje	MattBattiAM-player
djv	DJVuScannedfile
djvu	DJVufile
dkb	Raytracedgraphics(DKBTrace)
dl	Animation(Italianorigin)
dl_	Compressed.dllfileinanInstallArchive
dld	Data(Lotus1-2-3)
dlg	Dialogresourcescriptfile(MSWindowsSDK)
dll	DynamicLinkLibrary(Windows3.x-OS/2)
dls	Setup(NortonDisklock)
dmf	Delusion/XTrackerdigitalmusicfile
dmg	MacintoshOSXDiskImagefile
dml	MedicalManagerDMLSystemScript
dmo	Demo(Derive)
dmp	Dumpfile(eg.screenormemory)
dms	CompressedAmigafilearchivecreatedbyDISKMASHER
dmsk	DivXWebPlayerTemporaryfile
dna	DesktopDNAdatastoragefile
dnasym	DesktopDNAcompiledapplicationscript
dnax	DesktopDNAexclusionlist(text)
dne	NeticaBayesnetfile(NorsysSoftwareCorp.)
dng	AdobeDigitalNegativefFile
dnl	DigitalWebBookElectronicBook
do	ModelSimFilterDesignHDLCoder
doc	Documenttextfile
docm	OpenXMLMacro-enabledDocumentfile(MicrosoftWord2007/
docx	OpenXMLDocumenttextfile(MicrosoftOffice2007/Office
dog	Screenfile(LaughingDogScreenMaker)
doh	Dependencyinformationfor.poh(Geoworks)
dol	NintendoExecutablefile
dos	Externalcommandfile(1stReader)
dot	Line-typedefinitionfile(CorelDRAW)
dotx	MicrosoftWord2007/Word2010Templatefile
dox	Textfile(MultiMate4.0)
doz	DescriptionOutofZip(VENDINFO)
dp	Calendarfile(DailyPlanner)
dpg	NintendoDSMPEGVideoFile
dpk	DelphiPackagefile
dpp	SerifDrawPlusDrawing
dpr	Defaultproject-andstate-relatedinformation(Borland
dps	DivXPlayerSkinfile
dpt	DesktopDNAtemplate
dpx	Digitalmovingpictureexchangeformat
dra	MapMakerProGISvectorlayer
drs	DisplayResource(WordPerfectforWin)
drv	Devicedrivereg.forprinter
drw	Drawing(various)
ds	TwainDataSourcefile
ds4	Vectorgraphics(MicrografxDesigner4.0)
dsa	DasyTecDASYLabfile
dsb	DasyTecDASYLabfile
dsc	Discardfile(Oracle)
dsd	Database(DataShaper)
dsf	MicrografxDesigner
dsk	Projectdesktopfile(BorlandC++-TurboPascal)
dsm	Digitalsoundmodule(DSI)
dsn	ODBCDataSourcefile
dsp	Displayparameters(Signature)
dsp2	ReaderXandDragonStarProLtdfileextensions
dsr	DriverResource(WordPerfectforWin)
dss	Screensaverfile(DCC)
dst	PC-RDistDistributionfile
dsw	Desktopsettings(BorlandC++4.5)
dsy	PCDraftSymbolLibrary
dt_	DataforkofaMacintoshfile(Mac-ette)
dta	Datafile(TurboPascal-PC-File-Stata)
dtd	SGMLDocumentDefinitionfile
dtf	Databasefile(PFS-Q&A)
dtp	Document(TimeworksPublisher3)
dup	DuplicateBackup
dus	Readirisfontdictionary
dvc	Data(Lotus1-2-3)
dvf	DVStudioCamcorderGraphicsfile
dvi	DeviceIndependentdocument(TeX)
dvp	DesqviewProgramInformationfile(DESQview)
dvr	WindowsMediaCenterRecordedfile
dvr-ms	filescreatedbyStreamBufferEngine(SBE)
dw2	Drawing(DesignCADforwindows)
dwc	CompressedfilearchivecreatedbyDWC(dwc-a501.exe)
dwd	DavkaWriterfile
dwf	AutodeskWHIP!DrawingWebfile
dwg	Drawing(Drafix)
dwk	DADiSPWorksheetFile
dwl	DrawingLockfile
dwt	AutoCADTemplate/Prototypefile
dwz	DVDmovieFactory3
dx	Textfile(DECWPS/DXformat-DECWPSPlus)
dxf	DrawingInterchangeFileFormatvectorgraphics(AutoCAD)
dxn	Fax(FujitsudexNET)
dxr	AdobeDirectorMovieFile
dyc	ICUIIVideochatfile
dylib	Appleosxextensionforlib
dyn	Data(Lotus1-2-3)
dz	DzipCompressedfile
e3p	CIM-TeamE3.seriespartsfile
e3s	CIM-TeamE3.seriesprojectfileformat
e3t	CIM-TeamE3.seriestemplatefile
e3v	CIM-TeamE3.seriesviewerprojectfileformat
eap	EnterpriseArchitectProjectfile
ear	JavaEnterpriseApplicationPackagingUnit
eas	EliteVisualBasicAPISpy
ebj	Error-checkingobjectfile(Geoworks)
ebo	MSReaderEbookFormat
ebp	PocketPCWindowsCEProjectfile
ecf	MicrosoftOutlookAdd-onfile
eco	NetManageECCOfile
ecw	EnsoniqWavesetFormat
edb	MSExchangeDatabase
edl	EditDecisionList(managementforvideo/filmpost
edr	Portableenergyfile-GROMACS3.3
eds	EnsoniqSQ80diskimage
edt	Defaultsettings(VAXEdteditor)
eeb	ButtonbarforEquationEditor(WordPerfectforWin)
efe	EnsoniqEPSfile
eft	Highresolutionscreenfont(ChiWriter)
efx	Fax(EverexEFax)
ega	EGAdisplayfont(VenturaPublisher)
ek5	SonarDataEchoviewfile
ek6	SonarDataEchoviewfile
ekm	EXP:TheScientificWordProcessorMacro
el	Elispsourcecodefile(Emacslisp)
elc	CompiledELISPcode(Emacslisp)
elm	MSFrontPageTheme-Packfile
elt	Eventlisttextfile(Prosa)
email	OutlookExpressMailMessage
emb	EverestEmbeddedBankFile
emd	ABTExtendedModule
emf	EnchancedMetafilegraphics
eml	ElectronicMail(Email)Messagefile
emp	E-MusicFileFormat
ems	PCToolsEnhancedMenuSystemConfig
emu	Terminalemulationdata(BITCOM)
emx	Ensuredmailencryptedfile/e-mailmessage
emz	WindowsCompressedEnhancedMetafile
enc	Encodedfile-UUENCODEdfile(Lotus1-2-3-uuexe515.exe)
end	Arrow-headdefinitionfile(CorelDRAW)
eng	Dictionaryengine(Sprint)
ens	EndNoteStylesfile
env	Envelopermacro(WOPR)
eot	MSWEFTEmbeddedOpenTypefile
epd	Publication(ExpressPublisher)
epf	EncryptionProtection(encryptedfileformat)
epi	Document(ExpressPublisher)
epp	EditPadProProject
eps	EncapsulatedPostScriptvectorgraphics(AdobeIllustrator)
epub	OpenElectronicBookfile
eqn	Equation(WordPerfectforWin)
erd	EntityRelationshipDiagramgraphicfile(Prosa)
erm	EntityRelationshipDiagrammodelfile(Prosa)
err	Errorlog
esp	Venturafile
esh	ExtendedShellbatchfile
esl	MSVisualFoxProDistributableSupportLibrary
ess	EXP:TheScientificWordProcessorStyleSheet
est	MSStreets&Trips2001Tripfile
etf	EnrichedTextfile
eth	Document(Ethnograph3)
ets	eSignalTimeandSalesfile
etx	StructureEnhanced(setext)text
ev	SonarDataEchoviewfile
evi	SonarDataEchoviewfile
evl	SonarDataEchoviewfile
evr	SonarDataEchoviewfile
evt	Eventlog
evy	Document(WordPerfectEnvoy)
ewd	Document(ExpressPublisherforWindows)
ewl	EclipseCrosswordWordList
ex	NortonGhostTemplateFile
ex_	Compressed.EXEFileinanInstallArchive
ex3	Devicedriver(HarvardGraphics3.0)
exc	Rexxsourcecodefile(VM/CMS)
exd	ControlInformationCache
exe	Directlyexecutableprogram(DOS)
exm	Msdosexecutable,system-managercompliant(HPcalculator)
exp	ICQSavedChatfile
ext	Extensionfile(NortonCommander)
ext2fs	filesystemdriverintheLinuxkernel
exx	IntermediatefilebyMsgPut(IBMLinkWay)
ezf	Fax(CalculusEZ-Fax)
ezm	Textfile
ezp	EdifyElectronicWorkforceBackupUtility
ezz	eZBackupbackupfile
f	Fortransourcecodefile
f_i	PrintIPSfile
f01	Fax(perfectfax)
f06	Dosscreentextfont-height6pixels(fntcol13.zip)
f07	Dosscreentextfont-height7pixels(fntcol13.zip)
f08	Dosscreentextfont-height8pixels(fntcol13.zip)
f09	Dosscreentextfont-height9pixels(fntcol13.zip)
f10	Dosscreentextfont-height10pixels(fntcol13.zip)
f11	Dosscreentextfont-height11pixels(fntcol13.zip)
f12	Dosscreentextfont-height12pixels(fntcol13.zip)
f13	Dosscreentextfont-height13pixels(fntcol13.zip)
f14	Dosscreentextfont-height14pixels(fntcol13.zip)
f16	Dosscreentextfont-height16pixels(fntcol13.zip)
f2	FLASHBIOSfile
f2r	Linearmodule(music)(Farandole)
f3r	Blockedmodule(music)(Farandole)
f4v	MP4Videofile
f77	Fortran77sourcecodefile
f90	Fortranfile
f96	Fax(FrecomFAX96)
fac	Facegraphics
faq	FrequentlyAskedQuestionstextfile
far	FarandoyleTrackerMusicModule
fav	MSOutlookBarShortcuts
fax	Fax(rastergraphics)(mostFaxprograms)
fbc	FamilyTreeCompressedbackupfile
fbk	NavisonFinancialsBackup
fc	Spellcheckingdictionary(HarvardGraphics2.0)
fcd	VirtualCD-ROM
fcm	Binaryfilepatchfile(forwardcompression)(jlpak10.zip)
fcp	FLAMESCheckpointRestartfile(Ternion)
fcs	FlowCytometryStandardFormat
fcw	CampaignCartographer2file
fd	Declarationfile(MSFortran)
fdb	ArtExplosionPortfolioCatalogfile
fde	FLAMESDatasetExportfile(Ternion)
fdf	AdobeAcrobatFormsdocument
fdr	FinalDraftDocumentfile
fdw	Form(F3DesignandMapping)
feb	ButtonbarforFigureEditor(WordPerfectforWin)
fef	Steuer2001file
fes	FabioEditingSoftware
fev	FLAMESEnvironmentVariablefile(Ternion)
ff	Outlinefontdescription(AgfaCompugraphics)
ffa	MSFastFindfile
fff	Fax(defFax)
ffl	MSFastFindfile
ffo	MSFastFindfile
fft	Dca/FFTFinalFormTexttextfile(DisplayWrite)
ffx	MicrosoftFastFindfile
fgd	FolderGuardData
fh3	Vectorgraphics(AldusFreeHand3.x)
fh4	Vectorgraphics(AldusFreeHand4.x)
fh5	Freehand5
fh6	Freehand6
fh7	Freehand7
fh8	MacromediaFreehand8
fh9	MacromediaFreehand9
fh10	MacromediaFreehand10
fi	Interfacefile(MSFortran)
fif	FractalImageFormatfile
fig	REND386/AVRILGraphic
fil	Filetemplate(ApplicationGenerator)
fin	Print-formattedtextfile(PerfectWriter-Scribble-
fio	PhotoStylergraphics(filter)
fit	Fitsgraphics
fix	Patchfile
fky	Macrofile(FoxPro)
fla	AdobeFlashfile
flac	FreeLosslessAudioCodec
flb	Formatlibrary(Papyrus)
flc	Animation(AutodeskAnimator)
fld	Folder(Charisma)
fle	Fleaprogram:outboundfileandattachmentrequiredbythe
flf	CorelParadoxForm
fli	Texfontlibrary(EmTeX)
flk	FileLockerEncryptedfile
flm	FilmRoll(AutoCAD/AutoShade)
flo	MicrografxFlowCharter
flp	AdobeFlashProjectfile
flt	AsymetrixGraphicsFilterSupportfile
flv	AdobeFlashVideofile
flx	Compiledbinary(DataFlex)
fm	Spreatsheet(FileMakerPro)
fm1	Spreadsheet(Lotus1-2-3release2.x)
fm3	Devicedriver(HarvardGraphics3.0)
fmb	FileManagerButtonbar(WordPerfectforWin)
fmf	Fontoriconfile(IBMLinkWay)
fmg	FreeMarketsGraphicsBrowser
fmk	Makefile(FortranPowerStation)
fmo	Compiledformatfile(dBASEIV)
fmp	FileMakerProDocument
fmpp	FLAMESModelPrototypefileforcomponentswritteninC++
fmt	Formatfile(dBASEIV-FoxPro-Clipper5-dBFast)
fmv	FrameVectorMetafile
fmz	FormZProgramfiles(drawingprogram)
fn3	Fontfile(HarvardGraphics3.0)
fnt	Fontfile(many)
fnx	Inactivefont(Exact)
fo1	Fontfile(BorlandTurboC)
fo2	Fontfile(BorlandTurboC)
fol	Folderofsavedmessages(1stReader)
fon	Dialingdirectoryfile(Telix)
for	Fortransourcecodefile
fot	InstalledTruetypefont(WindowsFontInstaller)
fp	Configurationfile(FoxPro)
fp3	FileMakerPro3.0andearlierfiles
fp4	FileMakerPro4.0
fp5	FileMakerPro5.0andlaterfiles
fpb	FLAMESPlaybackRecorderfile(Ternion)
fpc	Catalog(FoxPro)
fpk	JetFormFormFlowfile
fpr	FLAMESPrototypefile(Ternion)
fpt	Memo(FoxPro)
fpw	Floorplandrawing(FloorPLANplusforWindows)
fpx	FlashPixBitmap
fqy	FLAMESFLARECommandfile(Ternion)
fr3	RenameddBASEIII+formfile(dBASEIV)
frc	FLAMESRecorderOutputfile;FLAREInputfile(Ternion)
frd	Fileswhichcontainloudspeakerfrequencyresponsedata
fre	CreativeDigitalBlasterDigitalVCRfile
frf	Font(FontMonger)
frg	Uncompiledreportfile(dBASEIV)
frl	FormFlowfile
frm	MySQLDatabaseFormatfile
fro	Compiledreportfile(dBASEIV)
frp	Form(PerFormPROPlus-FormFlow)
frs	ScreenFontResource(WordPerfectforWin)
frt	Reportmemo(FoxPro)
frx	Report(FoxPro)
fs	F#SourceCodefile
fsc	FLAMESScenariofile(Ternion)
fsh	EASportsGameGraphicEditorfile
fsl	Form(ParadoxforWindows)
fsm	FarandoyleSampleformatmusic
fst	Linkableprogram(dBFast)
fsproj	StoreFirestarterprojectsusedtogenerateclass
fsx	Data(Lotus1-2-3)
fsy	Fileware'sFilesync
ftm	Fontfile(Micrografx)
fts	WindowsHelpFull-TextSearchIndexfile
ftw	Familyfile
ftp	Configuration(FTPSoftwarePC/TCP)
fus	FilesthatstoreusersettingsforvariousFLAMES
fvt	InterlockPublicComputerUtility
fw	Database(FrameWork)
fw2	Database(FrameworkII)
fw3	Database(FrameworkIII)
fwp	FLAMESWindowViewerprojectfile(Ternion).
fx	DirectXEffectsfile
fxd	Phonebook(FAXit)
fxm	WinFax/WinFaxMiniViewerFax
fxo	FaxImageDocument
fxp	Compiledformat(FoxPro)
fxr	WinFaxReceivedDocument
fxs	FaxTransmitFormatgraphics(WinFax)
g	Datachart(APPLAUSE)
g3	Group3Faxdocument;Group3Fax
g3f	ZetafaxTIFFfile(fineresolution)
g3n	ZetafaxTIFFfile(normalresolution)
g8	Rawgraphics(onebyteperpixel)planethree(PicLab)
gab	GlobalAddressBookfile
gal	CorelMultimediaManagerAlbum
gam	SavedGamefile
gat	Gatorfile
gb	PagefoxBitmapImagefile
gba	GameBoyAdvancedROM
gbc	GameBoyCOlorROM
gbd	GatorBannerfile
gbl	Globaldefinitions(VAXTPUeditor)
gbr	GIMPBrushfile
gbx	Gerberfile
gc1	Lispsourcecode(GoldenCommonLisp1.1)
gc3	Lispsourcecode(GoldenCommonLisp3.1)
gcd	Graphics
gcf	SteamGCFFile
gdb	InterbaseDatabase
gdf	Dictionaryfile(GEOS)
gdr	BitmapFontfile(SymbianOS)
ged	Editor'snativefileformat(Arts&Letters)
gem	Vectorgraphics(GEM-VenturaPublisher)
gen	Compiledtemplate(dBASEApplicationGenerator)
geo	Geode(Geoworks)
gfb	CompressedGIFimagecreatedbyGIFBLAST(gifblast.exe)
gft	Font(NeoPaint)
gfx	GenigraphicsGraphicsLinkPresentation
gg	GoogleDesktopGadgetfile
gho	SymantecGhostDiskimagefile
ghs	LasertankHighScores
gib	Chart(Graph-in-the-Box)
gid	WindowsHelpindexfile
gif	GraphicsInterchangeFormatbitmapgraphics(CompuShow)
gig	Soundfile
giw	Presentation(Graph-in-the-BoxforWindows)
gl	Animation(GRASPGRAphicalSystemforPresentation)
glm	Datafile(Glim)
gls	Datafile(Across)
gly	Glossary(MSWord)
gmd	GameMakerfileformat
gmf	CGMgraphics(APPLAUSE)
gml	GeographyMarkupLanguagefile
gmp	Geomorphtilemap(SPX)
gno	GenoproGenealogyDocumentfile
gnt	InMFCOBOLacompiled.cblfile
goc	Gocsourcecodefile(Geoworks)
goh	Gocheaderfile(Geoworks)
gp	Geodeparameterfile(GeoworksGlue)
gp3	CCITTGroup3file
gp4	GuitarProversion4.06
gpd	VISUALEPRInputDataforPARAMS.EXE
gph	Graph(Lotus1-2-3/G)
gpk	Omnigoprogrampackage
gpx	GPSeXchangeFormat
gr2	Screendriver(Windows3.x)
gra	Datafile(SigmaPlot)
grb	Ms-DOSShellMonitorfile(MS-DOS5)
grd	GradebookPowerfile
grf	MicrografixImagefile
grl	MatlabGraphicFormat
grp	Groupfile(Windows3.x-Papyrus)
grx	Filelist(GetRight)
gry	RawGREYgraphics
gs1	Presentation(GraphShow)
gsd	Vectorgraphics(ProfessionalDraw)
gsm	RawGSM6.10AudioStream
gsp	Geometer'sSketchpadMaterialfile
gsw	Worksheet(GraphShow)
gtp	GnomeDesktopThemefile
gts	GenomeSoftwareTempoAlarmClock
gup	Data(PopMail)
gwi	GroupwiseFile
gwp	GreetingsWorkShopfile
gxd	GeneralCADDProfile
gxl	Graphicslibrary(Genus)
gxt	GTA2Gamefile
gym	SegaGenesisMusicLoggedFormat
gz	CompressedfilearchivecreatedbyGZIP(GNUzip)
gzip	CompressedfilearchivecreatedbyGZIP(GNUzip)
h	Headerfile
h!	On-linehelpfile(FlambeauxHelp!DisplayEngine)
h++	Headerfile(C++)
h--	Headerfile(SphinxC--)
ha	CompressedfilearchivecreatedbyHA(ha098.zip)
ham	Imagefile
hap	CompressedfilearchivecreatedbyHAP(hap303re.zip)
hbk	Handbook(Mathcad)
hbs	eBerryTransparentAnimation-compressedbitmapfiles
hcr	IBMHCD/HCMProductionConfiguration
hdf	HierarchicalDataFilegraphics(SDSCImageTools)
hdl	Alternatedownloadfilelisting(ProcommPlus)
hdp	HDPhotoFile
hdr	InstallShieldSetupheader
hds	WindowsDigitalRightManagementfile
hdw	Vectorgraphics(HarvardDraw)
hdx	Helpindex(AutoCAD-ZortechC++)
hed	HighEditdocument
hex	Hexdump
hfi	HpFontInfofile(GEM)
hfx	HotFaxfile
hgl	HpGraphicsLanguagegraphics
hh	C++headerfile
hhc	TableofContentsfile
hhh	Precompiledheaderfile(PowerC)
hhk	HelpWorkshopIndexfile
hhp	Helpinformationforremoteusers(ProcommPlus)
hht	MSMessengerfile
hin	Molecule(HyperChem)
his	InsightIIDynamicsTrajectoryHistoryfile
hlb	Helplibrary(VAX)
hlp	Helpinformation
hlz	Multi-EditPackedHelpfile
hm3	Help&Manual3projectFormat
hmm	AlternateMailReadoptionmenu(ProcommPlus)
hnc	CNCprogramfilesHeidenhain(?)dialog
hof	HallOfFame(gamescores)
hp8	AsciitextHPRoman8characterset(NewWaveWrite)
hpf	HpLaserJetfonts(PageMaker)
hpg	HPGLplotterfilevectorgraphics(AutoCad-Harvard
hpi	Fontinformationfile(GEM)
hpj	Helpproject(MSHelpCompiler)
hpk	CompressedfilearchivecreatedbyHPACK(hpack75.zip)
hpm	Emmtext(HPNewWave)
hpp	C++headerfile(ZortechC++)
hqx	CompressedMacintoshASCIIarchivecreatedbyBINHEX
hrf	Graphics(HitachiRasterFormat)
hrm	AlternateMainmenuforlimited/normalusers(ProcommPlus)
hs2	Monochromeimage(Postering)
hsi	HandmadeSoftwareInc.graphics-almostJPEG(Image
hst	YahooMessengerHistoryfile
hta	Hypertextapplication
htc	HTMLComponent(mechanismforimplementingDynamicHTMLin
htf	WebBaseFile
hti	WebBaseFile
htm	HyperTextMarkupLanguagedocument
html	HyperTextMarkupLanguagedocument
htr	MotionAnalysisSoftwareSkeletalfile
htt	Hypertexttemplate
htx	Hypertextfile
hus	HusqvarnaDesignerIEmbroideryMachineFormat
hwd	Presentation(Hollywood)
hxm	AlternateProtocolSelectionmenuforallusers(Procomm
hxx	C++headerfile
hy1	Hyphenationalgorithms(VenturaPublisher)
hy2	Hyphenationalgorithms(VenturaPublisher)
hyc	Data(WordPerfect)
hyd	Hyphenationdictionary(WordPerfectforWin)
hyp	CompressedfilearchivecreatedbyHYPER(hyper25.zip)
hyt	VFSMODProjectoutputfile
i	Intermediatefile(BorlandC++4.5)
iaf	MSOutlook97and2000e-mailaccountsettings
iax	Bitmapgraphics(IBMImageAccesseXecutive)
ibm	CompressedfilearchivecreatedbyARCHDOS(InternalIBM
ibd	InstallerDialogResourcefile
ibp	IsobusterImagefile
ibq	IsobusterManagedImagefile
ica	Bitmapgraphics(ImageObjectContentArchitecture)
icb	Bitmapgraphics
icc	KodakPrinterImage
icd	IronCAD2DCADfile
icl	Iconlibrary(ActivIcons,IconForge,ImageForge,ImageForge
icm	ImageColorMatchingProfilefile
icn	Iconsourcecodefile
ico	Icon(Windows3.x)
ics	iCalendarCalendarfile
id	Diskidentificationfile
id2	WindowsLiveMessengerEmoticonfile
idb	DatabaseUsedbyDisassembler
ide	Project(BorlandC++4.5)
idf	ARTiSANReal-timeStudioIDfile
idl	MSVisualC++InterfaceDefinitionfile
idw	Vectorgraphics(IntelliDraw)
idx	Index(many-FoxPro)
ies	Photometricfiledata
ifd	Form(JetFormDesign)
iff	InterchangeFileFormatbitmapgraphics/sound(Amiga)
ifo	Savedgraphicobjects(ImageForgePRO)
ifp	Script(KnowledgeMan)
ifs	Fractalimagecompressedfile(Yuvpak)
igr	IntergraphSmartSketchDrawing
igs	IGES-Format
igx	iGrafxProcess
iif	QuickBooksforWindowsInterchangefile
ilb	Data(ScreamTracker)
ilk	Outlineofprogram'sformat(MSILinkincrementallinker)
im30	SunRasterimagefile
im8	Sunrastergraphics
ima	Miragevectorgraphics(EGO,Chart,Autumn)
imb	IncrediMailfile
imc	IncrediMailfile
imd	CasewareIDEA(GISdatafile)
imf	ImageForge/IconForgesavedfilteredbrushes(IconForge,
img	Bitmapgraphics(VenturaPublisher-GEMPaint)
imm	IncrediMailTrash
imn	IncrediMailNotifier
imp	Spreadsheet(LotusImprov)
imq	Imagepresentation(ImageQ)
ims	IncredimailGraphic
imv	YahooInstantMessengerIMVironment
imw	ImagewareSurfacer3DCADSurfaceGeometry
imz	Compressedfloppyimage
in$	Installationfile(HPNewWave)
in3	Inputdevicedriver(HarvardGraphics3.0)
inb	Testscript(VermontHighTest)
inc	Includefile(severalprogramminglanguages)
ind	Index(dBASEIV)
indd	AdobeInDesignfileformat
inf	Type1LaserJetfontinformationfile(softfont
ini	Initializationfile
ink	Pantonereferencefillsfile(CorelDRAW)
inl	MSVisualC++InlineFunctionfile
inp	GISSoftwareTextInputfile
ins	Data(WordPerfect)
int	BorlandInterfaceUnits
inv	RogueSpearInventoryfile
inx	FoxproIndex(Foxbase)
io	CompressedfilearchivecreatedbyCPIO
iob	3dgraphicsdatabaseinTDDDformat
ioc	Organizationalchart(InstantORGcharting!)
ion	4dosdescript.ionfile(filedescriptions)
ipa	iPod/iPhoneApplicationfile
ipd	BlackBerryBackupfile
ipg	MindjonggFormat
ipj	ImpaticaOnCueProjectfile
ipl	PantoneSpotreferencepalettefile(CorelDRAW)
ipp	Help&ManualProprietaryImage
ips	GamePatchfile
ipsw	IPod/IPad/IPhoneSoftwarefile
ipx	IPIXAVfile
ipz	ICQSkinPlus
iri	IRImagefile
irs	Resource(WordPerfect)
isd	SpellingCheckerdictionary(RapidFile)
ish	CompressedfilearchivecreatedbyISH
isk	Commandfile
iso	EasyCDCreatorDiscImage
isr	MSStreets&TripsRoutefile
iss	InstallShieldResponsefile
ist	DigitrakkerInstrumentFile(n-FaCToR)
isu	InstallShieldUninstallScript
isz	Anextensionon.ISOthatallowscompressionandsplitting
it	Settings(intalk)
itc2	iTunesAlbumDatafile
itdb	iTunesDatabasefile
itf	Interfacefile(JPITopSpeedPascal)
ith	InTethertechnologysecuredfile
itl	MusicLibraryfile
iv	OpenInventorfiles(thesuccessortoInventor)
iva	securityvideodatafile
ivt	MSInfoviewerTitle
iw	Presentationflowchart(IconAuthor-HSCInterActive)
iwa	Textfile(IBMWritingAssistant)
iwd	CallofDutyGameDatafile
iwp	Textfile(Wang)
izt	Izlbinarytokenfile(IZL)
j01	FileExtensionfromADPPayrollCompany
jad	JavaApplicationDescriptorextension(forinstalling
jar	Javaarchivefile
jas	Graphics
jav	Javasourcecodefile
java	Javasourcecodefile
jbc	JamByte-CodeHexfile
jbd	Datafile(SigmaScan)
jbf	PaintShopProbrowserfile
jbk	JunoBackupfile
jbr	JascPaintShopProBrush
jbx	Projectfile(ProjectScheduler4)
jdt	AccelioCaptureClassicFiller
jef	JanomeNH10000SewingMachinefile
jet	Fax(HybridJetFax)
jff	Bitmapgraphics(JPEGFileInterchangeFormat)
jfif	JPEGimage
jfx	J2FaxFile
jhtml	DynamoServerPage
jif	JPEG/JIFFImage
jmx	JMeterfile
jnb	SigmaPlotWorkbookfile
jnl	IngresJournalfile
jnlp	JavaWebStartfile
jnt	WindowsJournalNotefile
job	Jobfile
jor	JournalfileSQL
jou	Journalbackup(VAXEdteditor)
jp2	JPEG2000file
jpc	Graphics(JapanPIC)
jpeg	JPEGimage
jpf	JPEG2000file
jpg	Bitmapgraphics(JointPhotographyExpertsGroup)
jps	StereoImage
jpx	JBuilderProjectfile
js	MicrosoftScriptingLanguage"JScript"fileextension
jsd	eFAXJetSuiteDocument
jse	JScriptEncodedScriptfile
jsf	FireworksBatchScriptfile
jsh	Henter-Joyce,Inc.JawsScriptHeaderfile
json	JavaScriptObjectNotationfile
jsp	JavaServerpage
jtf	Fax(HayesJTFax)
jtp	Jetformfile
jup	(NewPlanetSoftware)CodeCrusaderuser'sproject
jw	Textdocument(JustWrite)
jwl	Library(JustWrite)
jwp	EasyCDCreatorLabelfile
jxr	JPEGXRfile
jzz	Spreadsheet(Jazz)
kar	Midifilewithkaraokewordtrack
kau	SassafrasKeyAuditAuditfile
kb	Keyboardscript(BorlandC++4.5)
kbd	Keyboardmapping(LocoScript-Signature-ProcommPlus)
kbm	Keyboardmapping(Reflection4.0)
kcl	Lispsourcecode(KyotoCommonLisp)
kcp	Keychampfile
kdc	KasperskyVirusDatabasefile
keo	Older,outdatedPrintShopextension
ket	Older,outdatedPrintShopextension
kex	Macro(KEDIT)
kext	MacOSXKernelExtension
key	Datafile(ForecastPro)
kgb	KGBArchivefile
kit	RavenToolkitfile
kix	KixTartScript
kma	KodakMemoryBookfile
kml	KeyholeMarkupLanguagefile
kmp	KorgTrinityKeyMaPfile
kmx	KaufmanMmailWarriorMailFolder
kmz	GoogleEarthMapLocationfile
kos	MicroTypeProDocument
kp2	KruptosEncryptedfile
kpl	KazaaPlaylist
kpp	Toolpad(SmartPad)
kps	IbmKIPSbitmapgraphics
kqb	KnowledgeQuestionBasefile
kqe	W32/Spybot.KQEWormvirus
kqp	KonicaQualityPicture
krz	Kurzweil2000Sample
ksd	NativeInstrumentsAudioPatchfile
ktk	Kutoka'sMia
kwi	NavigationDatafile
kwm	WebMoneyPrivateKeyfile
kyb	Keyboardmapping(FTPSoftwarePC/TCP)
l	Lexsourcecodefile
l01	ARCDigitizedRasterGraphics
lab	Datafile(NCSS-SOLO)
lang	SkypeLanguagefile
lat	CrosswordExpressLatticefile
latex	LaTeXtypesettingsystem
lay	Wordchartlayout(APPLAUSE)
lbg	Labelgeneratordata(dBASEIV)
lbl	Label(dBASEIV-Clipper5-dBFast)
lbm	Bitmapgraphics(DeluxePaint)
lbo	Compiledlabel(dBASEIV)
lbr	CompressedfilearchivecreatedbyLU(lue220.arc)
lbt	Labelmemo(FoxPro)
lbx	Label(FoxPro)
lcf	LinkerControlFile(NortonGuidescompiler)
lck	Lockfile(Paradox)
lcl	Data(FTPSoftwarePC/TCP)
lcn	Lection(WordPerfect)
lcs	Datafile(ACT!HistoryFiles)
lcw	Spreadsheet(Lucid3-D)
ld	LongDistancecodesfile(Telix)
ld1	Overlayfile(dBASE)
ldb	Data(MSAccess)
ldf	Librarydefinitionfile(GeoworksGlue)
ldif	LDAPDataInterchangeFormat
leg	LegacyGraphicFormat
les	Lesson(check*.cbt)
let	Letter
lev	Levelfile(NetHack3.x)
lex	Lexicon(dictionary)(many)
lfa	LifeFormfile
lft	Laserprinterfont(ChiWriter)
lg	Logoproceduredefinitions(LSRHSLogo)
lgc	ProgramUseLogfile
lgo	Logoforheaderandfooter(SuperFax)
lgx	Gerberfile
lha	CompressedfilearchivecreatedbyLHA/LHARC(lha255b.exe)
lhw	CompressedAmigafilearchivecreatedbyLHWARP
lib	Libraryfile(severalprogramminglanguages)
